Number,Name,Address,Latitude,Longitude
352,352 - ROUGE-CLOÎTRE / ROOD-KLOOSTER,ROUGE-CLOÎTRE - RUE DU ROUGE-CLOÎTRE (PARKING CENTRE D'ART) / ROOD-KLOOSTERSTRAAT (PARKING KUNSTENCENTRUM),50.814264,4.443479
133,133 - CHÂTEAU/KASTEEL,CHATEAU-KASTEEL - AVENUE DU CHÂTEAU/KASTEELLAAN,50.866795,4.3092224
171,171 - PISCINE LOUIS NAMECHE ZWEMBAD,PISCINE LOUIS NAMECHE ZWEMBAD - RUE CHARLES MALISSTRAAT / PARKING PISCINE / ZWEMBAD PARKING,50.854789,4.312201
357,357 - AVIATION,AVIATION - INTERSECTION AVENUE DE L'AVIATION ET AVENUE ORBAN,50.834634,4.456746
112,112 - PAGE/EDELKNAAP,PAGE-EDELKNAAP  -  CHAUSSEE DE WATERLOO/  WATERLOOSE STEENWEG 440 - 442,50.821567,4.356508
41,041 - SAINT-ROCH/SINT-ROCHUS,SAINT ROCH/SINT-ROCHUS - CHAUSSEE D'ANVERS/ANTWERPSELAAN 37,50.859302,4.35485
249,249 - SAINT-JOB/SINT-JOB,SAINT-JOB/SINT JOB - PLACE SAINT JOB/SINT-JOB PLEIN,50.794186,4.366336
240,240 - VANDERKINDERE,VANDERKINDERE - AVENUE ALBERT/ALBERTLAAN N° 272,50.81418,4.347721
40,040 - PORTE DE HAL / HALLEPOORT,PORTE DE HAL/HALLEPOORT - BOULEVARD DU MIDI/ZUIDLAAN 142,50.833931,4.343155
109,109 - CHATELAIN/KASTELEIN,CHATELAIN/KASTELEIN - RUE DE L'AQUEDUC /AQUADUCTSTRAAT 115-117-119,50.824048,4.359896
73,073 - VLEURGAT,VLEURGAT - AVENUE LOUISE/LOUIZALAAN 300,50.823898,4.367752
159,159 - MASUI,MASUI - AVENUE DE LA REINE / KONINGINNELAAN 153,50.869297,4.36257
199,199 - HENRI REY,STATION HENRI REY - BD FELIX PAULSEN / FELIX PAULSENLAAN 3-5-7-9,50.843693,4.304986
65,065 - PARVIS DE ST GILLES,PARVIS DE ST GILLES/ST-GILLISVOORPLEIN - CHAUSSEE DE WATERLOO/ WATERLOOSESTEENWEG 65-69,50.829985,4.344557
243,243 - RONDPOINT CHURCHILL/ROTONDE CHURCHILL,RONDPOINT CHURCHILL/ROTONDE CHURCHILL - AV MESSIDOR FACE 338/MESSIDORLAAN TEGENOVER 338,50.811752,4.353424
343,343 - VANDENDRIESCH,VANDENDRIESCH - RUE J-B VANDENDRIESCH 22-24,50.861788,4.292913
301,301 - MARIE-JOSE,MARIE-JOSE - PLACE MARIE-JOSE FACE 14 / MARIE-JOSE PLAATS VOOR 14,50.806552,4.387843
